0.729125 (0.016457) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 16, 'layer_2': 16}
0.721661 (0.039932) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 16, 'layer_2': 8}
0.704141 (0.013710) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 128, 'layer_2': 64}
0.662824 (0.033508) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 128, 'layer_2': 32}
0.722553 (0.083981) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 128, 'layer_2': 16}
0.720740 (0.016581) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 128, 'layer_2': 8}
0.690894 (0.065169) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 64, 'layer_2': 64}
0.690139 (0.035267) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 64, 'layer_2': 32}
0.741935 (0.039315) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 64, 'layer_2': 16}
0.674385 (0.016738) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 64, 'layer_2': 8}
0.718531 (0.016242) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 32, 'layer_2': 64}
0.714008 (0.037158) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 32, 'layer_2': 32}
0.683013 (0.051473) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 32, 'layer_2': 16}
0.740576 (0.019707) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 32, 'layer_2': 8}
0.724175 (0.003095) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 16, 'layer_2': 64}
0.680268 (0.036886) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 16, 'layer_2': 32}
0.674453 (0.038364) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 16, 'layer_2': 16}
0.738702 (0.033790) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 16, 'layer_2': 8}
0.740422 (0.062732) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 128, 'layer_2': 64}
0.620079 (0.086400) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 128, 'layer_2': 32}
0.719677 (0.048876) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 128, 'layer_2': 16}
0.732918 (0.046106) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 128, 'layer_2': 8}
0.687608 (0.017493) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 64, 'layer_2': 64}
0.721862 (0.055089) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 64, 'layer_2': 32}
0.666363 (0.022834) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 64, 'layer_2': 16}
0.718854 (0.018334) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 64, 'layer_2': 8}
0.726737 (0.030316) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 32, 'layer_2': 64}
0.715069 (0.047702) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 32, 'layer_2': 32}
0.648451 (0.061278) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 32, 'layer_2': 16}
0.734139 (0.058514) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 32, 'layer_2': 8}
0.704599 (0.006129) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 16, 'layer_2': 64}
0.706771 (0.015439) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 16, 'layer_2': 32}
0.680290 (0.004680) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 16, 'layer_2': 16}
0.697807 (0.036566) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 16, 'layer_2': 8}
0.742208 (0.065762) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 128, 'layer_2': 64}
0.767565 (0.054383) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 128, 'layer_2': 32}
0.787579 (0.014860) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 128, 'layer_2': 16}
0.773687 (0.022348) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 128, 'layer_2': 8}
0.796000 (0.021124) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 64, 'layer_2': 64}
0.756736 (0.063493) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 64, 'layer_2': 32}
0.783066 (0.026773) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 64, 'layer_2': 16}
0.785710 (0.019338) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 64, 'layer_2': 8}
0.760271 (0.062817) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 32, 'layer_2': 64}
0.799292 (0.022530) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 32, 'layer_2': 32}
0.752580 (0.085001) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 32, 'layer_2': 16}
0.791387 (0.022627) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 32, 'layer_2': 8}
0.726288 (0.088369) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 16, 'layer_2': 64}
0.793001 (0.032394) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 16, 'layer_2': 32}
0.786946 (0.016309) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 16, 'layer_2': 16}
0.753995 (0.073750) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 16, 'layer_2': 8}
0.712804 (0.036421) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 128, 'layer_2': 64}
0.731173 (0.076249) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 128, 'layer_2': 32}
0.740484 (0.009744) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 128, 'layer_2': 16}
0.766331 (0.008472) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 128, 'layer_2': 8}
0.761296 (0.007238) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 64, 'layer_2': 64}
0.762321 (0.011447) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 64, 'layer_2': 32}
0.729887 (0.045362) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 64, 'layer_2': 16}
0.715558 (0.087807) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 64, 'layer_2': 8}
0.748145 (0.023077) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 32, 'layer_2': 64}
0.741854 (0.025332) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 32, 'layer_2': 32}
0.761978 (0.021150) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 32, 'layer_2': 16}
0.769398 (0.013554) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 32, 'layer_2': 8}
0.758295 (0.012521) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 16, 'layer_2': 64}
0.759454 (0.004830) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 16, 'layer_2': 32}
0.756214 (0.018210) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 16, 'layer_2': 16}
0.776539 (0.028041) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 16, 'layer_2': 8}
0.738747 (0.026881) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 128, 'layer_2': 64}
0.661257 (0.046441) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 128, 'layer_2': 32}
0.706700 (0.043139) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 128, 'layer_2': 16}
0.748918 (0.024997) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 128, 'layer_2': 8}
0.725431 (0.024375) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 64, 'layer_2': 64}
0.751374 (0.025954) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 64, 'layer_2': 32}
0.725364 (0.019617) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 64, 'layer_2': 16}
0.738288 (0.020030) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 64, 'layer_2': 8}
0.733587 (0.010425) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 32, 'layer_2': 64}
0.737752 (0.019266) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 32, 'layer_2': 32}
0.739304 (0.020176) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 32, 'layer_2': 16}
0.734598 (0.023668) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 32, 'layer_2': 8}
0.740132 (0.017561) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 16, 'layer_2': 64}
0.729559 (0.017405) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 16, 'layer_2': 32}
0.717173 (0.002779) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 16, 'layer_2': 16}
