0.940425 (0.014954) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 64, 'layer_2': 16}
0.938042 (0.006157) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 64, 'layer_2': 8}
0.942748 (0.008476) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 32, 'layer_2': 64}
0.944833 (0.007647) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 32, 'layer_2': 32}
0.941910 (0.009446) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 32, 'layer_2': 16}
0.944694 (0.011142) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 32, 'layer_2': 8}
0.941084 (0.017595) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 16, 'layer_2': 64}
0.938746 (0.019637) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 16, 'layer_2': 32}
0.943774 (0.010384) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 16, 'layer_2': 16}
0.942142 (0.019980) with: {'batch_size': 32, 'epochs': 100, 'layer_1': 16, 'layer_2': 8}
0.940575 (0.010410) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 128, 'layer_2': 64}
0.941911 (0.010848) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 128, 'layer_2': 32}
0.948152 (0.003646) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 128, 'layer_2': 16}
0.946279 (0.010322) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 128, 'layer_2': 8}
0.938630 (0.009364) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 64, 'layer_2': 64}
0.942872 (0.008547) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 64, 'layer_2': 32}
0.943870 (0.008206) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 64, 'layer_2': 16}
0.940834 (0.011473) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 64, 'layer_2': 8}
0.941919 (0.007073) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 32, 'layer_2': 64}
0.945718 (0.008430) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 32, 'layer_2': 32}
0.942548 (0.006978) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 32, 'layer_2': 16}
0.916402 (0.045870) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 32, 'layer_2': 8}
0.938392 (0.007206) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 16, 'layer_2': 64}
0.939198 (0.008629) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 16, 'layer_2': 32}
0.942016 (0.006094) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 16, 'layer_2': 16}
0.946496 (0.008010) with: {'batch_size': 32, 'epochs': 150, 'layer_1': 16, 'layer_2': 8}
0.943081 (0.007848) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 128, 'layer_2': 64}
0.942534 (0.005834) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 128, 'layer_2': 32}
0.938076 (0.017889) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 128, 'layer_2': 16}
0.948735 (0.007101) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 128, 'layer_2': 8}
0.944925 (0.008302) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 64, 'layer_2': 64}
0.943945 (0.006950) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 64, 'layer_2': 32}
